test_name,b_bp,r_bp,txn_id,op_type,bank,latency_ns
mem_full_test,0,0,251,WR,0,40.00
mem_full_test,0,0,253,WR,2,40.00
mem_full_test,0,0,255,WR,3,40.00
mem_full_test,0,0,257,WR,3,40.00
mem_full_test,0,0,259,WR,0,40.00
mem_full_test,0,0,261,WR,2,40.00
mem_full_test,0,0,263,WR,1,40.00
mem_full_test,0,0,265,WR,0,40.00
mem_full_test,0,0,267,WR,2,40.00
mem_full_test,0,0,269,WR,3,40.00
mem_full_test,0,0,271,WR,2,40.00
mem_full_test,0,0,273,WR,0,40.00
mem_full_test,0,0,275,WR,0,40.00
mem_full_test,0,0,277,WR,0,40.00
mem_full_test,0,0,279,WR,0,50.00
mem_full_test,0,0,281,WR,0,40.00
mem_full_test,0,0,283,WR,0,50.00
mem_full_test,0,0,285,WR,0,40.00
mem_full_test,0,0,287,WR,0,50.00
mem_full_test,0,0,289,WR,0,50.00
mem_full_test,0,0,291,WR,0,40.00
mem_full_test,0,0,293,WR,0,40.00
mem_full_test,0,0,295,WR,0,40.00
mem_full_test,0,0,297,WR,0,40.00
mem_full_test,0,0,299,WR,0,40.00
mem_full_test,0,0,301,WR,0,40.00
mem_full_test,0,0,303,WR,0,40.00
mem_full_test,0,0,305,WR,0,50.00
mem_full_test,0,0,307,WR,0,50.00
mem_full_test,0,0,309,WR,0,60.00
mem_full_test,0,0,311,WR,0,40.00
mem_full_test,0,0,313,WR,0,40.00
mem_full_test,0,0,315,WR,0,40.00
mem_full_test,0,0,317,WR,0,50.00
mem_full_test,0,0,319,WR,0,40.00
mem_full_test,0,0,321,WR,0,40.00
mem_full_test,0,0,323,WR,0,40.00
mem_full_test,0,0,325,WR,0,40.00
mem_full_test,0,0,327,WR,0,40.00
mem_full_test,0,0,329,WR,0,50.00
mem_full_test,0,0,331,WR,0,50.00
mem_full_test,0,0,333,WR,0,40.00
mem_full_test,0,0,335,WR,0,40.00
mem_full_test,0,0,337,WR,0,50.00
mem_full_test,0,0,339,WR,0,40.00
mem_full_test,0,0,341,WR,0,50.00
mem_full_test,0,0,343,WR,0,60.00
mem_full_test,0,0,345,WR,0,40.00
mem_full_test,0,0,347,WR,0,40.00
mem_full_test,0,0,349,WR,0,40.00
mem_full_test,0,0,351,WR,0,40.00
mem_full_test,0,0,353,WR,0,40.00
mem_full_test,0,0,355,WR,0,40.00
mem_full_test,0,0,357,WR,0,40.00
mem_full_test,0,0,359,WR,0,50.00
mem_full_test,0,0,361,WR,0,40.00
mem_full_test,0,0,363,WR,0,50.00
mem_full_test,0,0,365,WR,0,40.00
mem_full_test,0,0,367,WR,0,40.00
mem_full_test,0,0,369,WR,0,40.00
mem_full_test,0,0,371,WR,0,40.00
mem_full_test,0,0,373,WR,0,40.00
mem_full_test,0,0,375,WR,0,40.00
mem_full_test,0,0,377,WR,0,40.00
mem_full_test,0,0,379,WR,0,40.00
mem_full_test,0,0,381,WR,0,40.00
mem_full_test,0,0,383,WR,0,40.00
