test_name,b_bp,r_bp,txn_id,op_type,bank,latency_cyc
mem_full_test,10,10,2,WR,3,14.00
mem_full_test,10,10,4,RD,4,21.00
mem_full_test,10,10,7,WR,5,19.00
mem_full_test,10,10,6,RD,0,30.00
mem_full_test,10,10,12,WR,4,25.00
mem_full_test,10,10,10,RD,7,37.00
mem_full_test,10,10,14,WR,7,34.00
mem_full_test,10,10,16,RD,5,43.00
mem_full_test,10,10,18,WR,4,41.00
mem_full_test,10,10,20,RD,0,49.00
mem_full_test,10,10,22,WR,3,48.00
mem_full_test,10,10,24,RD,7,55.00
mem_full_test,10,10,26,WR,6,53.00
mem_full_test,10,10,28,RD,4,62.00
mem_full_test,10,10,30,WR,0,62.00
mem_full_test,10,10,32,RD,1,67.00
mem_full_test,10,10,34,WR,5,67.00
mem_full_test,10,10,36,RD,2,76.00
mem_full_test,10,10,37,WR,5,77.00
mem_full_test,10,10,40,RD,2,85.00
mem_full_test,10,10,41,WR,0,86.00
mem_full_test,10,10,44,RD,1,94.00
mem_full_test,10,10,46,WR,5,93.00
mem_full_test,10,10,50,RD,5,99.00
mem_full_test,10,10,48,WR,2,101.00
mem_full_test,10,10,54,RD,2,105.00
mem_full_test,10,10,52,WR,6,110.00
mem_full_test,10,10,58,RD,1,114.00
mem_full_test,10,10,56,WR,0,116.00
mem_full_test,10,10,62,RD,5,121.00
mem_full_test,10,10,60,WR,2,125.00
mem_full_test,10,10,64,RD,0,129.00
mem_full_test,10,10,65,WR,4,130.00
mem_full_test,10,10,70,RD,2,135.00
mem_full_test,10,10,68,WR,4,137.00
mem_full_test,10,10,74,RD,0,140.00
mem_full_test,10,10,72,WR,4,143.00
mem_full_test,10,10,78,RD,6,147.00
mem_full_test,10,10,76,WR,4,149.00
mem_full_test,10,10,82,RD,4,153.00
mem_full_test,10,10,80,WR,7,156.00
mem_full_test,10,10,86,RD,1,161.00
mem_full_test,10,10,84,WR,4,163.00
mem_full_test,10,10,88,RD,5,168.00
mem_full_test,10,10,89,WR,0,169.00
mem_full_test,10,10,94,RD,2,174.00
mem_full_test,10,10,92,WR,0,177.00
mem_full_test,10,10,98,RD,7,179.00
mem_full_test,10,10,96,WR,7,183.00
mem_full_test,10,10,100,RD,7,187.00
mem_full_test,10,10,101,WR,7,188.00
mem_full_test,10,10,104,RD,6,196.00
mem_full_test,10,10,108,WR,2,190.00
mem_full_test,10,10,106,RD,0,202.00
mem_full_test,10,10,118,WR,0,190.00
mem_full_test,10,10,110,RD,1,212.00
mem_full_test,10,10,124,WR,0,190.00
mem_full_test,10,10,112,RD,3,221.00
mem_full_test,10,10,132,WR,5,190.00
mem_full_test,10,10,114,RD,3,231.00
mem_full_test,10,10,137,WR,2,190.00
mem_full_test,10,10,116,RD,4,240.00
mem_full_test,10,10,141,WR,5,190.00
mem_full_test,10,10,120,RD,1,245.00
mem_full_test,10,10,145,WR,6,190.00
mem_full_test,10,10,122,RD,5,251.00
mem_full_test,10,10,149,WR,7,190.00
mem_full_test,10,10,126,RD,4,259.00
mem_full_test,10,10,153,WR,3,190.00
mem_full_test,10,10,128,RD,6,268.00
mem_full_test,10,10,157,WR,6,190.00
mem_full_test,10,10,130,RD,3,278.00
mem_full_test,10,10,161,WR,5,190.00
mem_full_test,10,10,134,RD,7,284.00
mem_full_test,10,10,165,WR,4,190.00
mem_full_test,10,10,136,RD,0,285.00
mem_full_test,10,10,169,WR,0,190.00
mem_full_test,10,10,140,RD,7,285.00
mem_full_test,10,10,173,WR,1,190.00
mem_full_test,10,10,144,RD,2,285.00
mem_full_test,10,10,177,WR,3,190.00
mem_full_test,10,10,148,RD,2,285.00
mem_full_test,10,10,181,WR,2,190.00
mem_full_test,10,10,152,RD,7,285.00
mem_full_test,10,10,185,WR,3,190.00
mem_full_test,10,10,156,RD,0,285.00
mem_full_test,10,10,189,WR,3,190.00
mem_full_test,10,10,160,RD,7,285.00
mem_full_test,10,10,193,WR,2,190.00
mem_full_test,10,10,164,RD,7,285.00
mem_full_test,10,10,197,WR,1,190.00
mem_full_test,10,10,168,RD,1,285.00
mem_full_test,10,10,201,WR,1,190.00
mem_full_test,10,10,172,RD,3,285.00
mem_full_test,10,10,205,WR,6,190.00
mem_full_test,10,10,176,RD,1,285.00
mem_full_test,10,10,209,WR,5,190.00
mem_full_test,10,10,180,RD,0,285.00
mem_full_test,10,10,213,WR,2,190.00
