test_name,b_bp,r_bp,bank_id,writes_completed,reads_completed,total_completes,utilization_proxy_pct,sim_time_cyc
mem_full_test,0,0,0,220,214,434,5.90,19708
mem_full_test,0,0,1,222,201,423,5.76,19708
mem_full_test,0,0,2,229,195,424,5.77,19708
mem_full_test,0,0,3,237,219,456,6.20,19708
mem_full_test,0,0,4,233,197,430,5.85,19708
mem_full_test,0,0,5,228,216,444,6.04,19708
mem_full_test,0,0,6,241,207,448,6.10,19708
mem_full_test,0,0,7,235,221,456,6.20,19708
mem_full_test,0,0,8,221,210,431,5.86,19708
mem_full_test,0,0,9,224,216,440,5.99,19708
mem_full_test,0,0,10,250,211,461,6.27,19708
mem_full_test,0,0,11,251,205,456,6.20,19708
mem_full_test,0,0,12,215,200,415,5.65,19708
mem_full_test,0,0,13,215,218,433,5.89,19708
mem_full_test,0,0,14,238,210,448,6.10,19708
mem_full_test,0,0,15,241,210,451,6.14,19708
mem_full_test,0,0,0,314,214,528,7.18,19708
mem_full_test,0,0,1,324,201,525,7.14,19708
mem_full_test,0,0,2,338,195,533,7.25,19708
mem_full_test,0,0,3,326,219,545,7.41,19708
mem_full_test,0,0,4,326,197,523,7.12,19708
mem_full_test,0,0,5,314,216,530,7.21,19708
mem_full_test,0,0,6,334,207,541,7.36,19708
mem_full_test,0,0,7,336,221,557,7.58,19708
mem_full_test,0,0,8,324,210,534,7.27,19708
mem_full_test,0,0,9,110,216,326,4.44,19708
mem_full_test,0,0,10,136,211,347,4.72,19708
mem_full_test,0,0,11,140,205,345,4.69,19708
mem_full_test,0,0,12,102,200,302,4.11,19708
mem_full_test,0,0,13,120,218,338,4.60,19708
mem_full_test,0,0,14,124,210,334,4.54,19708
mem_full_test,0,0,15,132,210,342,4.65,19708
mem_full_test,0,0,0,226,214,440,5.99,19708
mem_full_test,0,0,1,228,201,429,5.84,19708
mem_full_test,0,0,2,235,195,430,5.85,19708
mem_full_test,0,0,3,243,219,462,6.29,19708
mem_full_test,0,0,4,240,197,437,5.95,19708
mem_full_test,0,0,5,235,216,451,6.14,19708
mem_full_test,0,0,6,248,207,455,6.19,19708
mem_full_test,0,0,7,242,221,463,6.30,19708
mem_full_test,0,0,8,227,210,437,5.95,19708
mem_full_test,0,0,9,230,216,446,6.07,19708
mem_full_test,0,0,10,256,211,467,6.35,19708
mem_full_test,0,0,11,257,205,462,6.29,19708
mem_full_test,0,0,12,221,200,421,5.73,19708
mem_full_test,0,0,13,221,218,439,5.97,19708
mem_full_test,0,0,14,244,210,454,6.18,19708
mem_full_test,0,0,15,247,210,457,6.22,19708
mem_full_test,0,0,0,226,214,440,5.99,19708
mem_full_test,0,0,1,228,201,429,5.84,19708
mem_full_test,0,0,2,235,195,430,5.85,19708
mem_full_test,0,0,3,243,219,462,6.29,19708
mem_full_test,0,0,4,240,197,437,5.95,19708
mem_full_test,0,0,5,235,216,451,6.14,19708
mem_full_test,0,0,6,248,207,455,6.19,19708
mem_full_test,0,0,7,242,221,463,6.30,19708
mem_full_test,0,0,8,227,210,437,5.95,19708
mem_full_test,0,0,9,230,216,446,6.07,19708
mem_full_test,0,0,10,256,211,467,6.35,19708
mem_full_test,0,0,11,257,205,462,6.29,19708
mem_full_test,0,0,12,221,200,421,5.73,19708
mem_full_test,0,0,13,221,218,439,5.97,19708
mem_full_test,0,0,14,244,210,454,6.18,19708
mem_full_test,0,0,15,247,210,457,6.22,19708
