test_name,b_bp,r_bp,txn_id,op_type,bank,latency_cyc
mem_full_test,0,0,252,RD,4,6.00
mem_full_test,0,0,256,WR,12,4.00
mem_full_test,0,0,254,RD,3,6.00
mem_full_test,0,0,258,RD,1,6.00
mem_full_test,0,0,260,WR,13,4.00
mem_full_test,0,0,262,RD,1,6.00
mem_full_test,0,0,264,RD,0,6.00
mem_full_test,0,0,266,WR,10,4.00
mem_full_test,0,0,268,WR,9,4.00
mem_full_test,0,0,271,WR,12,4.00
mem_full_test,0,0,270,RD,3,6.00
mem_full_test,0,0,274,WR,5,4.00
mem_full_test,0,0,277,WR,15,4.00
mem_full_test,0,0,276,RD,3,6.00
mem_full_test,0,0,280,WR,5,4.00
mem_full_test,0,0,282,RD,6,6.00
mem_full_test,0,0,284,WR,10,4.00
mem_full_test,0,0,286,RD,14,6.00
mem_full_test,0,0,289,WR,15,4.00
mem_full_test,0,0,288,RD,0,6.00
mem_full_test,0,0,292,RD,1,6.00
mem_full_test,0,0,294,RD,0,6.00
mem_full_test,0,0,295,WR,0,6.00
mem_full_test,0,0,298,RD,12,6.00
mem_full_test,0,0,300,WR,1,4.00
mem_full_test,0,0,303,WR,14,4.00
mem_full_test,0,0,302,RD,3,6.00
mem_full_test,0,0,308,WR,12,4.00
mem_full_test,0,0,306,RD,9,6.00
mem_full_test,0,0,310,RD,8,6.00
mem_full_test,0,0,312,WR,2,4.00
mem_full_test,0,0,314,RD,11,6.00
mem_full_test,0,0,316,WR,11,4.00
mem_full_test,0,0,318,RD,0,6.00
mem_full_test,0,0,320,RD,4,6.00
mem_full_test,0,0,322,WR,2,4.00
mem_full_test,0,0,324,RD,7,6.00
mem_full_test,0,0,326,WR,7,5.00
mem_full_test,0,0,330,WR,8,4.00
mem_full_test,0,0,328,RD,4,6.00
mem_full_test,0,0,333,WR,11,4.00
mem_full_test,0,0,332,RD,14,6.00
mem_full_test,0,0,336,RD,14,7.00
mem_full_test,0,0,338,WR,2,4.00
mem_full_test,0,0,340,WR,4,4.00
mem_full_test,0,0,342,RD,6,6.00
mem_full_test,0,0,344,WR,7,4.00
mem_full_test,0,0,347,WR,0,4.00
mem_full_test,0,0,346,RD,14,6.00
mem_full_test,0,0,350,WR,10,4.00
mem_full_test,0,0,354,WR,3,4.00
mem_full_test,0,0,352,RD,8,6.00
mem_full_test,0,0,357,WR,3,4.00
mem_full_test,0,0,356,RD,5,6.00
mem_full_test,0,0,360,WR,10,4.00
mem_full_test,0,0,362,RD,4,6.00
mem_full_test,0,0,364,RD,2,6.00
mem_full_test,0,0,366,WR,4,4.00
mem_full_test,0,0,368,RD,1,6.00
mem_full_test,0,0,370,WR,5,4.00
mem_full_test,0,0,372,RD,7,6.00
mem_full_test,0,0,374,WR,14,4.00
