test_name,b_bp,r_bp,writes,reads,b_resp,r_resp,data_mismatches,hazards_tolerated,order_violations,slverr,invalid_wr,invalid_rd,avg_lat_wr_cyc,min_lat_wr_cyc,max_lat_wr_cyc,avg_lat_rd_cyc,min_lat_rd_cyc,max_lat_rd_cyc,throughput_wr,throughput_rd,sim_time_cyc
mem_full_test,10,10,3100,2650,3000,2550,0,0,0,0,100,100,450.31,14.00,1390.00,372.01,16.00,1485.00,0.079,0.067,38186
mem_full_test,10,10,3100,2650,3000,2550,2,3,0,0,100,100,450.31,14.00,1390.00,371.24,21.00,1485.00,0.079,0.067,38186
mem_full_test,30,30,3100,2650,3000,2550,0,0,0,0,100,100,1192.10,34.00,3710.00,993.21,36.00,3965.00,0.031,0.026,97726
mem_full_test,30,30,3100,2650,3000,2550,0,0,0,0,100,100,1192.10,34.00,3710.00,993.26,41.00,3965.00,0.031,0.026,97726
