test_name,b_bp,r_bp,bank_id,writes_completed,reads_completed,total_completes,utilization_proxy_pct,sim_time_cyc
mem_full_test,30,30,0,353,313,666,11.58,97726
mem_full_test,30,30,1,377,314,691,12.02,97726
mem_full_test,30,30,2,374,312,686,11.93,97726
mem_full_test,30,30,3,389,327,716,12.45,97726
mem_full_test,30,30,4,358,327,685,11.91,97726
mem_full_test,30,30,5,414,317,731,12.71,97726
mem_full_test,30,30,6,343,319,662,11.51,97726
mem_full_test,30,30,7,392,321,713,12.40,97726
mem_full_test,30,30,0,353,313,666,11.58,97726
mem_full_test,30,30,1,377,314,691,12.02,97726
mem_full_test,30,30,2,374,312,686,11.93,97726
mem_full_test,30,30,3,389,327,716,12.45,97726
mem_full_test,30,30,4,358,327,685,11.91,97726
mem_full_test,30,30,5,414,317,731,12.71,97726
mem_full_test,30,30,6,343,319,662,11.51,97726
mem_full_test,30,30,7,392,321,713,12.40,97726
mem_full_test,30,30,0,353,313,666,11.58,184576
mem_full_test,30,30,1,377,314,691,12.02,184576
mem_full_test,30,30,2,374,312,686,11.93,184576
mem_full_test,30,30,3,389,327,716,12.45,184576
mem_full_test,30,30,4,358,327,685,11.91,184576
mem_full_test,30,30,5,414,317,731,12.71,184576
mem_full_test,30,30,6,343,319,662,11.51,184576
mem_full_test,30,30,7,392,321,713,12.40,184576
